Vardas Pavarde ND1 ND2 ND3 ND4 ND5 ND6 ND7 ND8 Egzaminas
Jonas Petrauskas 8 5 6 7 9 4 10 3 7
Mantas Jankauskas 4 6 9 2 8 7 5 10 6
Eglė Kazlauskaitė 10 9 8 7 6 5 4 3 8
Gabija Vasiliauskaitė 7 6 5 10 9 8 6 4 9
Paulius Stankevičius 5 4 7 8 6 9 10 7 8
Justė Žukauskaitė 9 10 8 7 6 5 4 3 9
Lukas Butkus 6 7 5 8 9 10 7 6 10
Aistė Grigaitė 10 9 7 6 5 8 4 3 8
Rokas Žilinskas 4 6 8 7 9 5 10 6 7
Simona Jonauskaitė 7 8 6 9 10 5 4 7 10
Tomas Kazlauskas 8 9 7 6 5 10 4 3 7
Agnė Šimkutė 6 5 8 9 7 10 4 6 8
Karolis Urbonas 9 10 8 7 6 4 5 7 9
Rūta Jankauskaitė 7 6 9 5 8 4 10 7 8
Dainius Kavaliauskas 5 7 8 6 9 10 4 5 9
Monika Petrauskaitė 8 6 7 9 10 4 5 6 7
Andrius Vaitkus 9 10 8 5 7 6 4 3 8
Ieva Stankevičiūtė 6 5 7 9 10 8 4 6 9
Arnas Žukauskas 7 8 6 5 9 10 4 7 10
Greta Jonauskaitė 10 9 8 6 5 7 4 3 9
Deividas Kazlauskas 5 7 9 8 6 10 4 5 7
Milda Vasiliauskaitė 8 9 7 6 10 5 4 7 8
Saulius Butkus 7 6 9 5 10 4 8 7 9
Agnė Petrauskaitė 10 8 7 6 9 5 4 3 8
Vytautas Jankauskas 9 7 8 10 6 5 4 7 10
Laura Stankevičiūtė 8 9 7 5 6 10 4 3 7
Edgaras Urbonas 7 8 6 9 10 5 4 7 9
Lina Žukauskaitė 6 9 10 7 8 5 4 6 8
Martynas Vasiliauskas 9 8 7 10 6 5 4 3 10
Sandra Kazlauskaitė 7 9 8 6 5 10 4 7 9
Justinas Butkus 8 6 7 10 9 5 4 6 8
Indrė Jonauskaitė 9 10 8 7 6 5 4 3 9
Arvydas Petrauskas 6 8 7 9 10 5 4 7 8
Viktorija Grigaitė 10 9 8 6 7 5 4 3 9
Povilas Stankevičius 7 6 9 8 10 5 4 7 8
Kristina Šimkutė 8 7 10 9 6 5 4 6 9
Mindaugas Urbonas 9 8 7 10 6 5 4 3 10
Austėja Žukauskaitė 6 7 9 10 8 5 4 7 9
Tadas Jankauskas 8 9 7 10 6 5 4 6 8
Gintarė Petrauskaitė 9 8 10 7 6 5 4 3 9
Donatas Butkus 7 9 8 10 6 5 4 7 10
Neringa Vasiliauskaitė 8 9 7 6 10 5 4 7 8
Algirdas Kazlauskas 9 7 10 8 6 5 4 3 9
Aušra Jonauskaitė 6 9 8 10 7 5 4 6 8
Erikas Stankevičius 8 7 9 10 6 5 4 7 9
Vaida Šimkutė 9 8 7 10 6 5 4 3 10
Gediminas Urbonas 7 9 10 8 6 5 4 6 9
Jurgita Žukauskaitė 8 7 9 10 6 5 4 7 8
Tomas Petrauskas 9 8 10 7 6 5 4 3 10
Ingrida Butkutė 6 9 8 10 7 5 4 6 9
